Date,Department,Country,Revenue,Cost,Budget_Revenue,Budget_Cost,Cost_Type
2023-01-01 00:00:00,Sales,Netherlands,,missing,8806.03,4893.35,Logistics
2023-01-01 00:00:00,Operations,germany ,10905.25,5156.25,16330.4,8139.22,Rent
2023-01-01 00:00:00,HR,germany ,N/A,,15810.49,5983.44,Rent
2023-01-01 00:00:00,Marketing,Spain,7767.05,,14470.33,5187.42,LOGISTICS
2023-01-02 00:00:00,Sales,germany ,10346.69,missing,11311.71,7675.2,Rent
2023-01-02 00:00:00,Operations,germany ,N/A,5218.7,17433.32,4585.21,Rent
2023-01-02 00:00:00,HR,Spain,N/A,missing,9767.03,8644.86,Rent
2023-01-02 00:00:00,Marketing,germany ,,missing,11210.65,7690.82,Utilities
2023-01-03 00:00:00,Sales,FRANCE,19927.14,6268.54,11573.65,8368.68,salary
2023-01-03 00:00:00,Operations,Netherlands,N/A,missing,15342.97,9557.44,LOGISTICS
2023-01-03 00:00:00,HR,germany ,N/A,missing,8351.57,7625.04,salary
2023-01-03 00:00:00,Marketing,Germany,,7935.86,14695.96,9607.59,Rent
2023-01-04 00:00:00,Sales,France,15751.41,4731.73,11641.41,5550.35,Rent
2023-01-04 00:00:00,Operations,France,,,17967.06,5497.49,Utilities
2023-01-04 00:00:00,HR,France,N/A,11699.84,15423.3,4808.62,Rent
2023-01-04 00:00:00,Marketing,Germany,N/A,missing,12030.08,6359.17,Logistics
2023-01-05 00:00:00,Sales,Spain,N/A,10592.38,11584.62,4821.26,Salary
2023-01-05 00:00:00,Operations,germany ,,,11383.85,9242.62,salary
2023-01-05 00:00:00,HR,Germany,10926.2,,12152.29,6564.42,Utilities
2023-01-05 00:00:00,Marketing,germany ,,missing,12040.94,5938.86,LOGISTICS
2023-01-06 00:00:00,Sales,Netherlands,9844.37,missing,12874.09,9508.38,Rent
2023-01-06 00:00:00,Operations,germany ,,9990.8,9614.94,9114.77,Salary
2023-01-06 00:00:00,HR,Germany,N/A,5709.0,15898.04,9417.86,LOGISTICS
2023-01-06 00:00:00,Marketing,Netherlands,N/A,missing,12977.06,7734.87,Salary
2023-01-07 00:00:00,Sales,FRANCE,N/A,3245.9,11284.26,5740.64,Logistics
2023-01-07 00:00:00,Operations,FRANCE,11802.51,,10575.59,9819.96,salary
2023-01-07 00:00:00,HR,FRANCE,18915.36,,14293.57,7936.2,Salary
2023-01-07 00:00:00,Marketing,germany ,17793.39,missing,17136.01,6028.71,Rent
2023-01-08 00:00:00,Sales,Netherlands,,,15152.66,5864.52,Utilities
2023-01-08 00:00:00,Operations,FRANCE,,,10283.68,5514.59,LOGISTICS
2023-01-08 00:00:00,HR,France,,,15860.35,5755.62,salary
2023-01-08 00:00:00,Marketing,France,,3544.22,9829.78,7945.53,Logistics
2023-01-09 00:00:00,Sales,germany ,N/A,missing,10386.73,7836.6,Materials
2023-01-09 00:00:00,operations,FRANCE,N/A,7278.79,16997.0,7892.57,LOGISTICS
2023-01-09 00:00:00,HR,FRANCE,15059.77,,12341.06,7625.1,salary
2023-01-09 00:00:00,Marketing,Germany,,2515.32,12726.19,5396.75,Utilities
2023-01-10 00:00:00,Sales,germany ,,,15291.46,7499.26,salary
2023-01-10 00:00:00,Operations,Spain,,7412.75,11823.26,8008.02,Rent
2023-01-10 00:00:00,HR,Netherlands,6964.13,3017.89,13038.39,5055.16,Salary
2023-01-10 00:00:00,Marketing,France,14763.12,missing,8874.23,7608.8,Rent
2023-01-11 00:00:00,Sales,Netherlands,11765.18,,8290.99,9187.62,Utilities
2023-01-11 00:00:00,Operations,germany ,8243.88,5650.7,11489.92,5001.92,Utilities
2023-01-11 00:00:00,HR,FRANCE,16037.67,,17750.29,5324.28,Logistics
2023-01-11 00:00:00,Marketing,germany ,N/A,11426.63,10211.31,5188.03,Rent
2023-01-12 00:00:00,Sales,FRANCE,13459.49,2763.08,8581.79,9377.43,Utilities
2023-01-12 00:00:00,Operations,Spain,N/A,missing,8797.6,9250.4,Rent
2023-01-12 00:00:00,HR,Netherlands,,missing,13793.19,7915.73,Rent
2023-01-12 00:00:00,Marketing,Spain,N/A,6348.87,8376.0,6898.96,LOGISTICS
2023-01-13 00:00:00,Sales,Germany,16504.68,missing,10630.04,9669.99,Utilities
2023-01-13 00:00:00,Operations,germany ,,,15295.16,7198.66,Rent
2023-01-13 00:00:00,HR,France,,10332.24,10881.25,6822.08,Salary
2023-01-13 00:00:00,marketing,FRANCE,N/A,,10135.57,5607.49,Materials
2023-01-14 00:00:00,Sales,Spain,,,13805.54,8262.96,salary
2023-01-14 00:00:00,operations,FRANCE,N/A,7843.88,11640.9,7510.31,Materials
2023-01-14 00:00:00,HR,Spain,N/A,,8419.71,8779.65,Logistics
2023-01-14 00:00:00,Marketing,Netherlands,7616.54,7405.75,11848.48,7444.89,Materials
2023-01-15 00:00:00,Sales,germany ,8806.12,missing,14607.74,4950.71,Salary
2023-01-15 00:00:00,Operations,France,N/A,,17317.17,4421.68,Materials
2023-01-15 00:00:00,HR,germany ,18088.41,,17456.13,8301.64,Logistics
2023-01-15 00:00:00,Marketing,Spain,13436.05,missing,9964.53,8491.38,Salary
2023-01-16 00:00:00,Sales,Spain,N/A,missing,16759.55,5561.94,salary
2023-01-16 00:00:00,Operations,germany ,N/A,8188.52,17962.77,6657.9,Utilities
2023-01-16 00:00:00,HR,Spain,16425.66,5812.12,15601.39,7601.24,Salary
2023-01-16 00:00:00,Marketing,Spain,,,8679.11,9211.48,Materials
2023-01-17 00:00:00,Sales,germany ,N/A,missing,12568.15,8911.65,Salary
2023-01-17 00:00:00,Operations,germany ,N/A,missing,17861.19,5657.19,Rent
2023-01-17 00:00:00,HR,Netherlands,18163.02,11430.3,9151.11,9921.07,Rent
2023-01-17 00:00:00,Marketing,Netherlands,17331.76,3806.63,15626.26,6301.11,salary
2023-01-18 00:00:00,Sales,germany ,17932.2,,15485.13,7911.47,Materials
2023-01-18 00:00:00,Operations,FRANCE,,,10640.88,6775.84,Materials
2023-01-18 00:00:00,HR,France,8052.1,9300.0,14245.24,6907.03,Logistics
2023-01-18 00:00:00,Marketing,France,17305.92,2475.97,13040.42,9256.18,Rent
2023-01-19 00:00:00,Sales,France,14811.42,3609.09,16753.5,9013.85,Materials
2023-01-19 00:00:00,Operations,France,,,14981.59,8494.76,Salary
2023-01-19 00:00:00,HR,Germany,9022.47,,15556.87,5329.63,Utilities
2023-01-19 00:00:00,Marketing,Netherlands,15259.94,,15544.78,5194.68,Rent
2023-01-20 00:00:00,Sales,Netherlands,12024.77,6876.63,17443.6,4567.68,Rent
